Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-05-16 15:53:31.666513+00:00,1,2,2,2,2,2,2,2,"Opin, miten aloittaa koodaustunti oppilaitten kanssa.",""
2016-05-16 13:35:23.534024+00:00,0,2,2,2,1,1,2,2,"",""
2016-05-01 15:17:12.189785+00:00,0,2,2,2,2,4,4,4,"",""
2016-04-29 14:02:31.213224+00:00,3,2,2,2,2,3,3,3,"","Tiedän antaneeni palautteen tästä jaksosta heti, kun olin palauttanut tehtävän. Annoin silloin palautteen kahdesti. Jostain syystä palaute ole kuitenkaan kirjautunut pisteisiin. Ehkä se löytyy jostain arkistoistanne. Siinä olevat arvioinnit ovat luotettavammat kuin tämän palautteen arvioinnit. Eli tämä on nyt määräajan jälkeen annettu palaute. Toivottavasti tämä tulee perille. Teknisiä ongelmia on ollut, mutta se on luonnollista, kun on uudesta työskentelytavasta kyse. Tsemppiä teille säätämiseen. Tämä on kuitenkin hyvä tapa suorittaa opintoja. Olette hienosti pystyneet videoiden ja vertaisarviointien avulla luomaan kurssiin yhteisöllisyyttä.
2016-04-03 19:24:13.391111+00:00,0,1,2,1,1,4,4,4,"Rohkenin aloittaa koodaamisen ja mieleeni tuli, ettei tämä ole tämän ihmeellisempää ","Olis voinut hieman syvemmin ja ehkä esimerkkejä enemmän soveltamisesta. "
2016-04-03 12:04:29.551989+00:00,0,2,2,2,2,4,4,4,"Opin käyttämään ohjelman liikkumispainikkeita, että saan hahmon liikkumaan.",""
2016-04-03 10:32:06.228881+00:00,0,3,3,3,2,2,2,2,"",""
2016-03-31 17:21:43.961304+00:00,0,2,2,2,2,3,3,3,"",""
2016-03-30 14:13:44.660208+00:00,2,1,2,0,2,2,2,2,"Perehdyin aiheeseen koodaaminen, joka oli minulle aivan vieras tähän mennessä. Sain jonkinlaisen käsityksen mitätämä aihealue pitää sisällään ja miten sitä voidaan aluksi opettaa leikkien avulla.",""
2016-03-28 20:12:53.768465+00:00,1,2,1,1,1,3,3,3,"Yksinkertainen on kaunista. Pienin askelin liikkeelle.",""
2016-03-28 11:29:28.336568+00:00,0,2,2,1,2,3,4,4,"Opin pääidean koodaukesta, jota heti sovelsinkin oman luokan oppilaiden kanssa.","Kurssi on innostava, koska voi koko ajan hyödyntää opittua omassa opetuksessa. Kiitos."
