Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-05-20 10:31:44.073078+00:00,2,2,2,2,2,3,3,4,"Opin paljon uusia komentoja ja lisää Pythonin toiminnasta.",""
2016-05-18 22:42:59.364841+00:00,0,2,2,2,2,3,3,3,"",""
2016-05-15 10:31:17.774899+00:00,2,2,2,2,2,3,3,3,"Proseduurin ja funktion eron. Paljon uusia käsitteitä.",""
2016-05-11 06:28:42.057370+00:00,3,2,2,2,2,3,3,3,"Opin käyttämään funktioita ja proseduureja ja niiden eroja.",""
2016-05-10 09:25:02.718886+00:00,1,2,2,2,2,2,3,3,"Termejä. Omassa arkityössä on tullut käytettyä termistöä lähinnä muilta oppineena. Tässä kohtaa 'vanha' tunsi itsensä hieman hömöksi kun termeillä onkin joku tietty tarkoitus. Toisaalta jäi hieman hampaankoloon määritelmä funktion ja proseduurin erosta.. onko sitten niin että jos olen lisännyt aiemmin pelkkänä proseduurina toimivaan koodiin datan palautuksen, on siitä tullutkin funktio.. ehkä olisi selkeämpää että koodikielessä ei hyväksyttäisi proseduuriksi koodia joka tuottaa palautuksen. Tämä tekisi koodin lukemisesta helpompaa. Voin jopa tuntea pientä sympatiaa aiempia kollegoja kohtaan joiden on saattanut olla vaikeaa pysyä perässä tehdyistä muutoksista.. hah.","Hienoa työtä tähän asti.
2016-05-09 15:39:42.589141+00:00,2,2,2,2,2,2,3,2,"Tein tämän opintojakson kahdessa osassa, joiden välillä oli aika paljon aikaa, joten edellinen osa oli jo vähän hävinnyt muistista. Opin kuitenkin käyttämään muutamia Pythonin perusfunktioita, muuttamaan funktioiden arvoja ja kirjoittamaan jonkin verran uutta koodia (tai ainakin tulkitsemaan sitä).",""
2016-05-07 16:36:30.063018+00:00,1,2,2,2,2,2,2,2,"Käsitteitä, toimintoja, 'kielioppia'",""
2016-05-05 18:41:56.859296+00:00,0,2,2,2,2,2,2,2,"Prosessorin ja funktion erot.",""
2016-05-05 17:17:22.297011+00:00,0,2,2,2,2,2,2,2,"",""
2016-05-02 17:47:35.889230+00:00,2,2,2,2,2,2,2,2,"",""
2016-05-02 17:16:04.043994+00:00,0,2,2,2,1,2,2,3,"",""
2016-05-02 16:31:19.350525+00:00,0,2,2,2,2,3,3,4,"",""
2016-05-02 14:06:35.289500+00:00,0,2,2,2,2,2,2,2,"Turtle-ohjelmointia.","Hyvin menee!"
2016-04-30 19:43:46.405133+00:00,3,2,2,2,2,2,2,2,"",""
2016-04-28 19:09:02.034928+00:00,1,2,2,2,2,2,2,2,"Hyvin paljon samaa kuin Racletissa, mutta pieniä eroja on.","Kivaa ja innostavaa oli."
2016-04-28 14:27:42.171810+00:00,1,2,2,1,1,2,2,2,"",""
2016-04-28 11:37:09.077365+00:00,0,0,0,0,0,1,2,2,"",""
