Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-05-31 07:36:02.228779+00:00,0,2,2,2,2,2,2,2,"Ohjelman teon.","Kiitos!"
2016-05-23 12:05:34.514118+00:00,4,1,1,3,1,3,2,2,"","Mistähän se johtuu, mutta Padletin löytäminen ja käyttö on aina yhtä hankalaa."
2016-05-15 10:47:59.285784+00:00,2,2,2,2,2,2,1,1,"Opin tapahtuma-käsitteen, jossa kaksi tai useampi hahmo voivat keskustella keskenään. Käytin sitä myös diplomityössäni. Viesti lähetetään lähetä-palikalla ja vastaanotetaan kun vastaanotan-palikalla. ","Peli on itsessään vielä melko alkeellinen, mutta siinä on paljon potentiaalia.
2016-05-13 16:55:51.830614+00:00,0,2,1,2,2,3,3,3,"Opin tekemään pelin","Harmittaa kun nuo pistetilanteet eivät näy suorituksissa."
2016-05-07 14:48:18.156334+00:00,2,2,2,2,2,3,3,3,"",""
2016-05-01 15:19:44.040327+00:00,2,2,2,2,2,3,3,3,"",""
2016-04-30 17:49:36.566887+00:00,4,1,2,2,3,4,1,3,"Minulla on ollut pitkä tauko viime kerrasta. Olin unohtanut paljon Scratchin käytöstä, joten kertasin melkein kaikki käsitteet. Vahvimmin sisäistin nyt tapahtuman käsitteen.","Se ei niinkään liity verkkokurssiinne, mutta minulla oli suuria ongelmia Scratchin kanssa tänään. Ongelma oli siinä, että ensin tein diplomityötä hyvin pitkälle ennen kuin ajattelin tallentaa siitä varakopion koneelle. Selain meni jumiin eikä tiedosto tallentunut koneelleni. Aloitin homman alusta ja testasin heti alussa tallennusta. Nyt tallennus onnistui, mutta selain jumiutui sen jälkeen ja minun piti sulkea Safari kokonaan ja palata Scratchin sivuille, ladata tiedosto ja sitten jatkaa. Työskentelin pitkälti yliaikaa tämän ongelman vuoksi: pelkäsin, että tallentaminen taas epäonnistuu, joten loin useita väliaikaisia tiedostoja, jonka jälkeen selain aina kaatui. Sitten avaamaan selainta uudelleen, menemään Scratchin sivuille, lataamaan viimeisimmän tiedoston jne. Alku oli hyvin turhauttavaa tästä syystä.
2016-04-30 14:21:55.347502+00:00,2,2,2,2,2,3,3,3,"Pelin teon alusta loppuun;)",""
2016-04-30 06:27:03.331834+00:00,3,2,2,2,2,3,3,3,"Opin käyttämään ohjelmaa kunnolla, koska tein oman, pidemmän ohjelman.",""
2016-04-29 20:50:36.793169+00:00,0,2,2,2,2,2,2,2,"",""
2016-04-29 11:27:34.922791+00:00,2,2,2,2,2,4,4,4,"Sain tehtyä suurin piirtein sellaisen kertotauluharjoituksen, mitä halusinkin. Vielä tekeminen ei ole täysin automaattista, mutta koko ajan oppii uutta. ",""
2016-04-27 19:20:14.174902+00:00,3,2,2,2,2,2,2,2,"Tekemään oman oppimispelin.",""
