Time,suosittelu,hyvaa,loppuun_syy_2,loppuun_syy_3,loppuun_syy_4,loppuun_syy_5,loppuun_syy_6,loppuun_syy_7,loppuun_syy_8,loppuun_syy_9,loppuun_syy_10,sisallot_1,kehitettava,sisallot_2,sisallot_3,sisallot_4,sisallot_5,sisallot_6,sisallot_7,sisallot_8,sisallot_9,sisallot_10,sisallot_11,lisaa,sisallot_12,sisallot_13,sisallot_14,sisallot_15,sisallot_16,sisallot_17,sisallot_18,sisallot_19,sisallot_20,sisallot_21,pois,sisallot_22,miten_loysit,nopeus,loppuun,kesken_syy,loppuun_syy_1,
2016-06-27 17:25:38.268536+00:00,8,"Sai opiskella kotona, joten opiskelu oli vaivatonta. Kurssimateriaalit olivat hyviä ja tehtävät vaikeustasoltaan sopivia. Ohjeet olivat pääosin hyvin selkeitä. Opetusvideot oli hyvin tehty.",2,1,1,1,1,1,1,1,1,4,"Aikataulutus voisi olla selkeämpi ja hiukan väljempi. Kurssi voisi mielellään edetä loogisesti alusta loppuun asti deadline-päivämäärien suhteen.",0,3,3,1,3,3,3,3,3,3,"Materiaaleja oli hienosti tarjolla, en olisi voinut enempää toivoa.",1,1,1,4,1,4,3,3,4,4,"Kiireen...",1,3,4,0,"",0
2016-06-22 08:48:44.058968+00:00,8,"hyvää materiaalia, kiinnostavia tehtäviä",2,2,2,1,2,2,2,2,0,4,"Aikataulut ja suoritusten kirjaantuminen aiheuttivat epätietoisuutta.Jotkut tehtävät alkupäästä sai palauttaa myöhempään, joka saattoi aiheuttaa hämmennystä (yritin tehdä ehkä liian haastavaa, kun sai käsityksen, että lopussa saisi tehdä jonkinlaisen 'lopputyön' niistä. Toisaalta asioiden aikaisempi läpikäyminen olisi voinut olla hyödyllistä. Lopussa pedagoginen työ tuli vähän yllättäen, töissä oli vilkasta ja olin luullut, ettei olisi tarvinnut tehdä enää kovinkaan paljon. Tehtävä oli luonteeltaankin laajempi ja piti käyttää aikaa jonkinlaisen kokonaisuuden aikaan saamiseksi. Toisaalta jos se tehtävä olisi ollut annettuna alussa, olisi voinut tehdä siihen sopivia osuuksia muissa tehtävissä. Silloin olisi voinut esim. samantien suunnitella kurssin tms. ",0,4,4,1,4,4,4,3,3,3,"Ei varsinaisesti mielessä, asioitahan saattaoi käydä enemmän ja yksityiskohtaisemmin, jos halusi.",1,2,2,2,2,3,4,2,3,4,"En osaa sanoa, eihän nytkään ollut pakko kaikkia asioita käydä yhtä tarkkaan vaan voi valikoida kiinnostavat. Ihan hyvä niin.",3,5,2,0,"",1
2016-06-20 19:23:50.105190+00:00,0,"Monipuolinen ja laaja materiaali - erityisesti selkeät opetusvideot ja hyvät malliratkaisut koodaustehtäviin. Motivoivat jaksotehtävät. Keskustelualueella sai kysymyksiinsä vastauksen nopeasti. Pidin hyvänä myös sitä, että edellisen toteutuksen materiaaleihin pääsi käsiksi Koodiaapisen kirjaston kautta - teki mahdolliseksi asioiden opiskelun joustavammin kuin jaksojen avautumistahti A+:ssa. Toisten jakamien tehtävien katseleminen oli todella inspiroivaa!",2,2,0,2,0,2,0,1,0,4,"Kannattaisiko pedagoginen osuus laittaa pakolliseksi? Itsekin jätin sen väliin, koska olin muut osiot jo tehnyt ja näin ollen läpäissyt kurssin, mutta pidän sitä silti hyödyllisenä. Jaksot 5 ja 6 (listat ja turtle, jossa myös listoja) keskenään vaihtoehtoisiksi ja pedagoginen 7 pakolliseksi? ",0,4,4,0,4,4,4,3,4,3,"Joidenkin jaksojen kohdalla helpompia koodaustehtäviä. Ehkä jotain vinkkejä siihen, miten tästä voisi opiskelua jatkaa itsekseen eteenpäin. Jotain linkkilistaa/muuta vinkkipankkia.",2,2,3,4,3,3,3,3,3,3,"",3,1,2,0,"",0
2016-06-20 14:57:48.569425+00:00,9,"Selkeä opetus. Monipuoliset harjoitukset.",2,2,1,1,2,2,1,2,2,4,"Yksinkertaisia harjoituksia enemmän.",1,4,4,1,3,3,3,3,3,4,"",1,2,2,3,3,3,3,3,3,3,"",3,4,2,0,"",0
2016-06-20 12:14:43.069383+00:00,8,"Opetusvideot havainnollisia, palautettavien töiden vaatimustaso sopiva, monipuolinen kurssi.",2,2,1,0,1,2,0,1,0,4,"Joidenkin käskyjen/rakenteiden ohjeet voisivat olla vieläkin selkeämpiä, mutta hioutuu varmaan kurssi kurssilta.  ",0,4,4,1,3,3,4,2,3,3,"Suoraan yläkoululle sopivia tehtäviä.",1,1,1,3,1,2,3,2,4,4,"---",3,5,2,0,"",0
2016-06-19 16:25:07.920858+00:00,9,"Videot erityisesti","","","","","","","","","",2,"Voitaisiin edetä hitaammin. Suoritin kurssin viime syksynä ja aioin kerrata vielä tänä keväänä, mutta aika ei mitenkään riittänyt.",2,2,2,2,2,2,2,2,2,2,"",2,2,2,2,2,2,2,2,2,2,"",2,5,3,1,5,""
2016-06-19 09:02:04.666270+00:00,8,"Selkeähköt videot. Järkevä kokonaisuus. Auttaa oman opetuksen suunnittelussa. Valmiit, käytettävät materiaalit. ",2,2,0,1,2,2,0,0,0,4,"A+ ei toiminut sulavasti, kaipaa kehittämistä.  En pitänyt vertaisarvioinneista, koska arvioijat arvioivat omista lähtökohdistaan ottamatta huomioon, että toiset ovat aivan aloittelijoita. Minua kyllä kiinnosti tutustua ihan omaehtoisesti toisten ratkaisuihin ilman pakotetta arvioida.  Jotkut osa-alueet olisi voinut pilkkoa pienempiin osiin. ",0,4,4,0,2,3,4,4,2,2,"Kaikki videoiden ohjelmat olisi ollut hyvä saada tulostettavana versioina. Niistä olisi ollut helpompi saada apua omiin tehtäviin.",2,0,0,0,0,0,4,4,4,4,"Vertaisarvioinnin.",2,5,3,0,"",0
2016-06-19 07:23:47.445562+00:00,6,"Tehtävien deadlinet, jotka saivat opiskelijan pysymään tahdissa. Keskustelupalsta, josta sai pika-apua.",2,1,0,0,0,2,0,1,2,1,"Opetusvideot eivät aina vastanneet tehtävän vaatimiin taitoihin. Ainakin aloittelijan oli vaikea yhdistää videoiden oppeja tehtäviin.",3,2,0,4,0,3,3,0,3,1,"Lisää videoita.",2,2,2,2,2,3,1,3,3,4,"",2,3,3,0,"",0
2016-06-17 20:05:48.066510+00:00,6,"",2,1,1,0,1,2,1,2,0,3,"",1,2,3,1,4,3,3,2,2,3,"",2,2,2,2,3,2,3,3,3,3,"",3,5,2,0,"",0
2016-06-14 19:32:50.591794+00:00,9,"Videot, esimerkit, keskustelupalsta, tehtävät.",2,2,1,1,1,2,1,2,1,4,"Joskus oli vaikea löytää tehtäviin ratkaisuja.",0,4,4,0,4,4,4,4,4,4,"Välillä olisin tarvinnut lisää aikaa, kun töissä oli liian kiire. Kaikki illat meni jossakin vaiheessa joko koodaamiseen tai töiden tekemiseen.",3,3,2,3,3,3,4,4,4,4,"En mitään.",4,3,3,0,"",2
